Navn,Drengenavn,Pigenavn
Aabjørn,Ja,Nej
Aadam,Ja,Nej
Aadan,Ja,Nej
Aadel,Ja,Nej
Aadhan,Ja,Nej
Aadheen,Ja,Nej
Aadi,Ja,Nej
Aadil,Ja,Nej
Aadish,Ja,Nej
Aadit,Ja,Nej
Aaditya,Ja,Nej
Aadrit,Ja,Nej
Aadvait,Ja,Nej
Aadvik,Ja,Nej
Aadvitya,Ja,Nej
Aadyant,Ja,Nej
Aage,Ja,Nej
Aageeshan,Ja,Nej
Aaghi,Ja,Nej
Aahaan,Ja,Nej
Aahan,Ja,Nej
Aahawan,Ja,Nej
Aahel,Ja,Nej
Aahil,Ja,Nej
Aahnik,Ja,Nej
Aajmi,Ja,Nej
Aaju,Ja,Ja
Aakar,Ja,Nej
Aakash,Ja,Nej
Aake,Ja,Nej
Aaki,Ja,Nej
Aalam,Ja,Nej
Aaliyan,Ja,Nej
Aamil,Ja,Nej
Aamin,Ja,Nej
Aamir,Ja,Nej
Aamund,Ja,Nej
Aanav,Ja,Nej
Aanis,Ja,Nej
Aansh,Ja,Nej
Aanton,Ja,Nej
Aapi,Ja,Nej
Aapu,Ja,Nej
Aaqib,Ja,Nej
Aaqil,Ja,Nej
Aarambha,Ja,Nej
Aaramva,Ja,Nej
Aaran,Ja,Nej
Aaransh,Ja,Nej
Aarav,Ja,Nej
Aaria,Ja,Ja
Aarian,Ja,Nej
Aaric,Ja,Nej
Aarin,Ja,Nej
Aaris,Ja,Nej
Aarish,Ja,Nej
Aariv,Ja,Nej
Aariz,Ja,Nej
Aarnav,Ja,Nej
Aarnik,Ja,Nej
Aarno,Ja,Nej
Aaro,Ja,Nej
Aaroan,Ja,Nej
Aarogya,Ja,Nej
Aaron,Ja,Nej
Aaronsh,Ja,Nej
Aarre,Ja,Nej
Aarsh,Ja,Nej
Aarshiv,Ja,Nej
Aart,Ja,Nej
Aarthuur,Ja,Nej
Aarush,Ja,Nej
Aarvik,Ja,Nej
Aary,Ja,Nej
Aarya,Ja,Ja
Aaryan,Ja,Nej
Aaryav,Ja,Nej
Aasam,Ja,Nej
Aashrit,Ja,Nej
Aashrith,Ja,Nej
Aashutosh,Ja,Nej
Aasim,Ja,Nej
Aasmund,Ja,Nej
Aataalia,Ja,Nej
Aathan,Ja,Nej
Aathesh,Ja,Nej
