Navn,Drengenavn,Pigenavn
Aabish,Nej,Ja
Aadhini,Nej,Ja
Aadhira,Nej,Ja
Aadhya,Nej,Ja
Aadira,Nej,Ja
Aaditri,Nej,Ja
Aadnya,Nej,Ja
Aadrita,Nej,Ja
Aadvika,Nej,Ja
Aadya,Nej,Ja
Aafia,Nej,Ja
Aafiyah,Nej,Ja
Aafke,Nej,Ja
Aagot,Nej,Ja
Aagya,Nej,Ja
Aahana,Nej,Ja
Aaheli,Nej,Ja
Aahilah,Nej,Ja
Aahini,Nej,Ja
Aaiah,Nej,Ja
Aaicha,Nej,Ja
Aaila,Nej,Ja
Aaima,Nej,Ja
Aaira,Nej,Ja
Aairah,Nej,Ja
Aaisha,Nej,Ja
Aaishvyi,Nej,Ja
Aaista,Nej,Ja
Aaiyana,Nej,Ja
Aaiza,Nej,Ja
Aaja,Nej,Ja
Aaju,Ja,Ja
Aakriti,Nej,Ja
Aala,Nej,Ja
Aalayah,Nej,Ja
Aaleen,Nej,Ja
Aaleena,Nej,Ja
Aaleyah,Nej,Ja
Aalheiur,Nej,Ja
Aalia,Nej,Ja
Aália,Nej,Ja
Aaliah,Nej,Ja
Aalis,Nej,Ja
Aalistina,Nej,Ja
Aaliya,Nej,Ja
Aaliyah,Nej,Ja
Aaliyha,Nej,Ja
Aaltje,Nej,Ja
Aamenah,Nej,Ja
Aamilah,Nej,Ja
Aamina,Nej,Ja
Aaminah,Nej,Ja
Aamirah,Nej,Ja
Aamna,Nej,Ja
Aananya,Nej,Ja
Aanavi,Nej,Ja
Aanaya,Nej,Ja
Aaneeraq,Nej,Ja
Aaninnguaq,Nej,Ja
Aaniya,Nej,Ja
Aannganneq,Nej,Ja
Aanshi,Nej,Ja
Aanya,Nej,Ja
Aaradhana,Nej,Ja
Aaradhya,Nej,Ja
Aarani,Nej,Ja
Aarathidthaa,Nej,Ja
Aarathygha,Nej,Ja
Aarati,Nej,Ja
Aaravi,Nej,Ja
Aarha,Nej,Ja
Aaria,Ja,Ja
Aarika,Nej,Ja
Aarikka,Nej,Ja
Aariyana,Nej,Ja
Aarna,Nej,Ja
Aarohi,Nej,Ja
Aaruhi,Nej,Ja
Aarushi,Nej,Ja
Aarvi,Nej,Ja
Aarvisha,Nej,Ja
Aarya,Ja,Ja
Aaryaa,Nej,Ja
Aaryahi,Nej,Ja
Aasa,Nej,Ja
Aase,Nej,Ja
Aaselinea,Nej,Ja
Aashana,Nej,Ja
Aashika,Nej,Ja
Aashirya,Nej,Ja
Aashna,Nej,Ja
Aashritha,Nej,Ja
Aashvi,Nej,Ja
Aasiya,Nej,Ja
Aasiyah,Nej,Ja
Aasma,Nej,Ja
Aasse,Nej,Ja
Aasta,Nej,Ja
Aastha,Nej,Ja
Aataaq,Nej,Ja
Aathira,Nej,Ja
Aathirai,Nej,Ja
Aava,Nej,Ja
Aavanshi,Nej,Ja
