position,name,gender
1,Ella,0
2,Freja,0
3,Alma,0
4,Frida,0
5,Agnes,0
6,Luna,0
7,Ida,0
8,Nora,0
9,Olivia,0
10,Sofia,0
11,Emma,0
12,Clara,0
13,Asta,0
14,Alberte,0
15,Karla,0
16,Lily,0
17,Ellie,0
18,Anna,0
19,Ellen,0
20,Esther,0
21,Astrid,0
22,Isabella,0
23,Lærke,0
24,Josefine,0
25,Laura,0
26,Mathilde,0
27,Emily,0
28,Mille,0
29,Merle,0
30,Saga,0
31,Victoria,0
32,Aya,0
33,Maja,0
34,Marie,0
35,Luca,87
36,Vera,0
37,Leonora,0
38,Hannah,0
39,Vilma,0
40,Andrea,5
41,Liva,0
42,Liv,0
43,Elina,0
44,Lea,0
45,Molly,0
46,Gry,0
47,Eva,0
48,Johanne,0
49,Ingrid,0
50,Rosa,0
51,Charlie,92
52,Emilie,0
53,Sofie,0
54,Solveig,0
55,Viola,0
56,Mynte,0
57,Alva,0
58,Augusta,0
59,Thea,0
60,Sigrid,0
61,Sara,0
62,Caroline,0
63,Filippa,0
64,Ellinor,0
65,Vilde,1
66,Kaya,2
67,Nova,0
68,Iben,0
69,Naya,0
70,Nellie,0
71,Selma,0
72,Elin,0
73,Mira,0
74,Tilde,0
75,Nanna,0
76,Edith,0
77,Sif,0
78,Alba,0
79,Flora,0
80,Dagmar,0
81,Martha,0
82,Vigga,0
83,Ronja,0
84,Rose,0
85,Sally,0
86,Vega,0
87,Sia,0
88,Søs,0
89,Silje,0
90,Alice,0
91,Ava,0
92,Vilja,0
93,Signe,0
94,Sonja,0
95,Ea,0
96,Maria,0
97,Silke,0
98,Agnete,0
99,Ebba,0
100,Emilia,0
101,Mia,0
102,Karen,0
103,Elvira,0
104,Bjørk,6
105,My,1
106,Melia,0
107,Mila,0
108,Aura,0
109,Elena,0
110,Julie,0
111,Lykke,1
112,Athena,0
113,Ingeborg,0
114,Neel,3
115,Sommer,1
116,Ane,0
117,Elva,0
118,Iris,0
119,Kamma,0
120,Amelia,0
121,Hailey,0
122,Stella,0
123,Alina,0
124,Frederikke,0
125,Nynne,0
126,Uma,0
127,Malou,0
128,Vibe,0
129,Lilje,0
130,Oda,0
131,Jasmin,6
132,Lara,0
133,Maggie,0
134,Mie,0
135,Elise,0
136,Lucia,0
137,Malia,0
138,Elisa,0
139,Petra,0
140,Jamie,93
141,Melina,0
142,Noelle,1
143,Ayla,0
144,Ada,2
145,Annika,0
146,Eleanor,0
147,Evi,0
148,Julia,0
149,Lia,0
150,Rita,0
151,Cleo,0
152,Kirsten,0
153,Ruth,0
154,Zoe,0
155,Lina,0
156,Vilje,1
157,Bella,0
158,Holly,0
159,Lucca,10
160,Naomi,0
161,Nikoline,0
162,Amira,0
